Report Written :   Thursday, July 12, 2018  22:31
Project Path   :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.prj
Design Path    :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.pcb
Design Title   :
Created        :   25.11.2015 10:02:45
Last Saved     :   12.07.2018 22:27:59
Editing Time   :   1897 min
Units          :   thou (precision 0)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Description"
"CN10","1","PHX_MCV1.5/ 5-G-3.5","","3R5mm","Phoenix Contacts","MCV 1,5/ 5-G-3,5 - 1843635","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 5, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
"U4","1","RECOM_5V","","DIL","Recom","R-785.0-0.5","532-8050","Schaltregler 6.5 ? 32Vdc Input / 5Vdc Output, 0.5A 2.5W"
"U5","1","Relay_2pol","","DIL","Omron","G5Q-1-A4-EU 24DC","479-6569P","Monostabiles Relais Printrelais, 24Vdc / 200mW Spule, 1-poliger Schließer - Schließer, 150 W"
"U7","1","Relay_2pol","","DIL","Omron","G5Q-1-A4-EU 24DC","479-6569P","Monostabiles Relais Printrelais, 24Vdc / 200mW Spule, 1-poliger Schließer - Schließer, 150 W"
"U2","1","SN65HVD1040_SO8","","SO8","Texas Instruments","SN65HVD1040DG4","662-4309","CANbus Transceiver 1Mbit/s ISO 11898, Standby, SOIC 8-pin"
"D3","1","TDiode_P6KE33A","","DIL","ST Microelectronics","P6KE33A","485-9339","TVS-Diode Uni-Directional P6KE33A, 59V 600W, DO-15 2-pin"
"U3","1","TUHS25F24","","DIL","Cosel","TUHS25F24","829-6372","1-Kanal Einbau Schaltnetzteil 26.4W, 24Vdc / 1.1A, 36 x 25.4 x 16.5mm"
"D4","1","TVS_P6SMB400CA","","SMB","Littelfuse","P6SMB400CA","166-0588","Littelfuse P6SMB400CA, Bi-Directional TVS Diode, 600W, 2-Pin DO-214AA"
"IC1","1","ULN_Treiber_SO18","","SO18","Texas Instruments","ULN2803ADWG4","646-6311","NPN Darlington-Transistor-Array ULN2803ADW 50 V 0,5 A, Octal, SOIC 18-pin"
"CN14","1","US-ISP_100th","","R100","Felec","PH1S25-205GB5,5/3,3-L","","Stiftleiste 2x5 polig R2,54 2 reihig gerade B=5,5mm"
"V5","1","Var_47V_R300","","R300","Panasonic","ERZV10D470","720-9857","ZNR Überspannungsschutz, 4.6nF, 93V 5A, Ø 11,5mm x 5mm"
"V1","1","Var_430V_R300","","R300","Panasonic","ERZV10D431","720-9904","ZNR Metalloxid-Varistor, 270pF, 710V 25A, Ø 11,5mm x 6mm"
"V2","1","Var_430V_R300","","R300","Panasonic","ERZV10D431","720-9904","ZNR Metalloxid-Varistor, 270pF, 710V 25A, Ø 11,5mm x 6mm"
"V3","1","Var_430V_R300","","R300","Panasonic","ERZV10D431","720-9904","ZNR Metalloxid-Varistor, 270pF, 710V 25A, Ø 11,5mm x 6mm"
"XTAL1","1","XTAL_HC49","","SM","Jauch","Q-16,0-SMU4-30-30/30-LF","","QuarzCrystal-16MHz_HC49"
